UserID,UserName,TransactionID,Address,Email,PhoneNumber,OrderAmount,ProductName,PaymentMethod,OrderStatus
user101,Alice,tx1001,123 Main St,alice@example.com,9876543210,150.5,Wireless Headphones,Credit Card,Shipped
user102,Bob,tx1002,456 Elm St,bob@example.com,9123456789,220,Smartphone,PayPal,Pending
user103,Charlie,tx1003,789 Oak St,charlie@example.com,9638527410,330.5,Laptop,Debit Card,Shipped
user104,David,tx1004,321 Pine St,david@example.com,8569214730,100,Book,Credit Card,Delivered
user105,Eve,tx1005,654 Birch St,eve@example.com,7412385960,78.5,Mouse,PayPal,Pending
user106,Frank,tx1006,987 Cedar St,frank@example.com,6253147890,440,Gaming Console,Cash,Shipped
user107,Grace,tx1007,231 Maple St,grace@example.com,5326891740,250.5,Camera,PayPal,Delivered
user108,Harry,tx1008,564 Cherry St,harry@example.com,4897512630,99.9,Headphones,Credit Card,Shipped
user109,Ingrid,tx1009,876 Willow St,ingrid@example.com,3625187950,125,Watch,Cash,Pending
user110,Jack,tx1010,190 Hickory St,jack@example.com,2348527160,660,TV,PayPal,Shipped
